(0, -17.986206896551675, -0.17986206896551676)
(1, -17.98333333333289, -0.3578967816091905)
(2, -18.094117647058763, -0.5352589902636862)
(3, -21.675637393767644, -0.7466627742987257)
(4, -17.966666666666583, -0.9188628132224044)
(5, -17.87006802721082, -1.0883748653622884)
(6, -22.206918238993683, -1.2995602990986024)
(7, -17.980669144981274, -1.466371387557429)
(8, -26.342857142857135, -1.715136245110426)
(9, -18.0941176470586, -1.8789260591299075)
(10, -29.813432835821104, -2.1582711268968193)
(11, -23.97588424437294, -2.3764472580715807)
(12, -18.031182795698896, -2.532994613447854)
(13, -18.019760479041857, -2.6878622721037937)
(14, -18.012648221343465, -2.8411101315961904)
(15, -19.585906040268355, -3.008558090682912)
(16, -17.88793774319037, -3.157351887207987)
(17, -18.022580645160996, -3.306004174787517)
(18, -17.837931034482608, -3.4513234433844677)
(19, -24.16783216783226, -3.6584885306289454)
(20, -18.049295774647536, -3.8023966030691314)
(21, -26.683870967742084, -4.031211346715861)
(22, -17.861484098939897, -4.169514074238101)
(23, -26.716184971098293, -4.394980783206703)
(24, -18.058646616540944, -4.531617441540045)
(25, -22.279439252336374, -4.709095659648008)
(26, -17.96618705035944, -4.8416665735551225)
(27, -17.949809885931273, -4.972748006678883)
(28, -18.05454545454523, -5.103565981157547)
(29, -26.081268011527445, -5.313343001461246)
(30, -17.913043478260697, -5.439340006229241)
(31, -23.172549019607814, -5.616672096363026)
(32, -17.96357615894031, -5.740141136988799)
(33, -18.08571428571408, -5.863596868476052)
(34, -17.95384615384588, -5.984499361329751)
(35, -17.949809885931295, -6.1041524665757665)
(36, -17.95641025641006, -6.2226750444741095)
(37, -24.613559322033854, -6.406583887249707)
(38, -18.08985507246367, -6.5234165991018465)
(39, -17.810299003322186, -6.63628542314405)
(40, -18.063576158940293, -6.750558330502011)
(41, -18.05501730103802, -6.863602920207372)
(42, -8.899809885931322, -6.883964989864611)
(43, 21.84369747899131, -6.5966883651760515)
(44, -24.253820598006477, -6.773259687504356)
(45, -17.87254901960778, -6.88425258082539)
(46, -17.96927899686511, -6.995102844985786)
(47, -18.06666666666657, -7.105818483202594)
(48, -17.9758842443729, -7.214519140814296)
(49, -17.975884244372914, -7.322132791849882)
(50, -17.96319702602202, -7.428543434191604)
(51, -18.02857142857108, -7.534543714135399)
(52, -18.0072992700729, -7.639271269694774)
(53, 10.533466135458083, -7.457543895643245)
(54, -17.97142857142846, -7.562682742401098)
(55, -18.03843416370073, -7.6674402566140945)
(56, -17.954054054053948, -7.770306394588493)
(57, -18.062595419847213, -7.873229284841081)
(58, -18.021052631578875, -7.974707518308459)
(59, -18.00684931506825, -8.075028936276057)
(60, -22.063636363636295, -8.21491501054966)
(61, -22.985459940652746, -8.36262045985069)
(62, -17.95087719298232, -8.458503027182006)
(63, -22.349999999999966, -8.597417996910186)
(64, -17.993632958801236, -8.691380146529097)
(65, -17.96666666666653, -8.784133011730471)
